" Date","W1 Open","W1 Low","W1 High","W1 Close","W1 SMA (50D)","W1 SMA (200D)"
04-13-1984,"367.75 ","367.50 ","373.50 ","372.75 ","348.95 ","357.91 "
04-16-1984,"366.00 ","366.00 ","373.75 ","368.00 ","349.68 ","358.06 "
04-17-1984,"368.00 ","365.00 ","368.75 ","365.25 ","350.32 ","358.21 "
04-18-1984,"363.75 ","363.50 ","370.00 ","368.00 ","350.97 ","358.36 "
04-19-1984,"367.75 ","367.25 ","372.00 ","371.00 ","351.77 ","358.52 "
04-20-1984,"381.00 ","381.00 ","381.00 ","381.00 ","352.88 ","358.70 "
04-23-1984,"373.25 ","369.75 ","373.50 ","371.75 ","353.88 ","358.82 "
04-24-1984,"368.75 ","363.50 ","369.50 ","364.25 ","354.68 ","358.91 "
04-25-1984,"363.00 ","357.50 ","365.00 ","357.50 ","355.26 ","358.91 "
04-26-1984,"357.00 ","354.00 ","358.00 ","356.50 ","355.75 ","358.87 "
04-27-1984,"356.00 ","356.00 ","360.75 ","357.50 ","356.24 ","358.83 "
04-30-1984,"356.50 ","349.50 ","359.75 ","350.75 ","356.37 ","358.77 "
05-01-1984,"350.00 ","348.50 ","354.50 ","353.25 ","356.85 ","358.71 "
05-02-1984,"356.13 ","355.50 ","359.50 ","359.25 ","357.40 ","358.69 "
05-03-1984,"359.38 ","355.75 ","359.50 ","356.00 ","357.95 ","358.62 "
05-04-1984,"356.75 ","356.00 ","360.75 ","359.50 ","358.55 ","358.55 "
05-07-1984,"358.50 ","356.50 ","362.00 ","361.50 ","359.20 ","358.46 "
05-08-1984,"363.25 ","363.00 ","369.50 ","368.00 ","360.07 ","358.42 "
05-09-1984,"367.75 ","366.50 ","370.00 ","368.50 ","360.92 ","358.36 "
05-10-1984,"369.50 ","365.50 ","370.00 ","366.50 ","361.56 ","358.30 "
05-11-1984,"369.25 ","359.75 ","369.25 ","360.50 ","361.96 ","358.21 "
05-14-1984,"359.00 ","351.50 ","359.00 ","356.00 ","362.19 ","358.11 "
05-15-1984,"355.00 ","354.00 ","360.00 ","360.00 ","362.38 ","358.03 "
05-16-1984,"358.00 ","357.50 ","364.00 ","364.00 ","362.63 ","357.93 "
05-17-1984,"364.75 ","364.75 ","376.50 ","371.00 ","363.01 ","357.87 "
05-18-1984,"371.50 ","371.00 ","383.00 ","383.00 ","363.59 ","357.88 "
05-21-1984,"386.00 ","385.00 ","397.00 ","396.50 ","364.51 ","357.88 "
05-22-1984,"368.75 ","365.50 ","374.00 ","367.75 ","364.88 ","357.78 "
05-23-1984,"364.50 ","363.00 ","369.25 ","367.75 ","365.18 ","357.66 "
05-24-1984,"368.75 ","366.00 ","375.00 ","374.50 ","365.48 ","357.62 "
05-25-1984,"374.75 ","365.25 ","375.75 ","365.75 ","365.64 ","357.53 "
05-28-1984,"349.50 ","349.50 ","349.50 ","349.50 ","365.52 ","357.27 "
05-29-1984,"362.50 ","360.00 ","365.25 ","364.75 ","365.74 ","357.14 "
05-30-1984,"363.75 ","360.25 ","365.25 ","363.50 ","365.86 ","357.02 "
05-31-1984,"363.00 ","356.00 ","363.75 ","356.00 ","365.75 ","356.86 "
06-01-1984,"357.50 ","354.00 ","358.25 ","354.75 ","365.63 ","356.70 "
06-04-1984,"354.00 ","353.50 ","359.00 ","356.75 ","365.44 ","356.54 "
06-05-1984,"355.75 ","355.50 ","359.25 ","358.25 ","365.40 ","356.44 "
06-06-1984,"358.00 ","353.25 ","359.00 ","355.75 ","365.33 ","356.28 "
06-07-1984,"355.00 ","353.50 ","357.75 ","356.00 ","365.20 ","356.14 "
06-08-1984,"354.25 ","351.75 ","355.50 ","352.25 ","364.76 ","355.97 "
06-11-1984,"352.00 ","351.75 ","355.75 ","355.25 ","364.46 ","355.84 "
06-12-1984,"357.25 ","354.00 ","358.00 ","354.50 ","364.06 ","355.68 "
06-13-1984,"354.00 ","353.75 ","356.25 ","354.00 ","363.60 ","355.54 "
06-14-1984,"352.25 ","350.25 ","353.00 ","350.50 ","363.24 ","355.36 "
06-15-1984,"349.75 ","348.50 ","350.75 ","349.75 ","362.90 ","355.18 "
06-18-1984,"349.25 ","347.00 ","350.50 ","348.50 ","362.47 ","355.02 "
06-19-1984,"348.75 ","348.75 ","357.00 ","352.50 ","362.18 ","354.93 "
06-20-1984,"352.50 ","352.00 ","358.50 ","356.75 ","362.03 ","354.89 "
06-21-1984,"355.75 ","355.00 ","358.50 ","357.50 ","361.81 ","354.87 "
06-22-1984,"355.25 ","353.00 ","357.75 ","353.25 ","361.42 ","354.82 "
